IP Address,Subnet Mask,CIDR,Network,Broadcast,UsableHosts
192.168.1.24,255.255.255.0,192.168.1.0/24,192.168.1.0,192.168.1.255,254
10.1.5.4,255.255.254.0,10.1.4.0/23,10.1.4.0,10.1.5.255,510
172.16.20.33,255.255.255.0,172.16.20.0/24,172.16.20.0,172.16.20.255,254
192.168.100.7,255.255.252.0,192.168.100.0/22,192.168.100.0,192.168.103.255,1022
10.0.3.112,255.255.255.0,10.0.3.0/24,10.0.3.0,10.0.3.255,254
172.16.1.200,255.255.254.0,172.16.0.0/23,172.16.0.0,172.16.1.255,510
10.2.1.56,255.255.252.0,10.2.0.0/22,10.2.0.0,10.2.3.255,1022
192.168.2.3,255.255.255.0,192.168.2.0/24,192.168.2.0,192.168.2.255,254
172.16.50.1,255.255.252.0,172.16.48.0/22,172.16.48.0,172.16.51.255,1022
10.10.0.5,255.255.254.0,10.10.0.0/23,10.10.0.0,10.10.1.255,510
192.168.3.14,255.255.255.0,192.168.3.0/24,192.168.3.0,192.168.3.255,254
10.20.4.6,255.255.252.0,10.20.4.0/22,10.20.4.0,10.20.7.255,1022
172.16.8.9,255.255.254.0,172.16.8.0/23,172.16.8.0,172.16.9.255,510
10.4.3.2,255.255.255.0,10.4.3.0/24,10.4.3.0,10.4.3.255,254
192.168.20.44,255.255.252.0,192.168.20.0/22,192.168.20.0,192.168.23.255,1022
172.16.40.22,255.255.255.0,172.16.40.0/24,172.16.40.0,172.16.40.255,254
10.0.0.200,255.255.254.0,10.0.0.0/23,10.0.0.0,10.0.1.255,510
192.168.10.1,255.255.255.0,192.168.10.0/24,192.168.10.0,192.168.10.255,254
172.16.15.15,255.255.254.0,172.16.14.0/23,172.16.14.0,172.16.15.255,510
10.3.3.9,255.255.252.0,10.3.0.0/22,10.3.0.0,10.3.3.255,1022
192.168.4.5,255.255.255.0,192.168.4.0/24,192.168.4.0,192.168.4.255,254
10.50.2.7,255.255.255.0,10.50.2.0/24,10.50.2.0,10.50.2.255,254
172.16.60.30,255.255.252.0,172.16.60.0/22,172.16.60.0,172.16.63.255,1022
192.168.7.8,255.255.254.0,192.168.6.0/23,192.168.6.0,192.168.7.255,510
10.15.5.50,255.255.252.0,10.15.4.0/22,10.15.4.0,10.15.7.255,1022
